,secs,x,y,delay
0,1433753551,0.0,0.0,2.75
1,1433753552,15.4918200009,32.3607148998,2.71
2,1433753552,15.4918200009,32.3607148998,3.25
3,1433753553,15.4918200009,32.3607148998,2.76
4,1433753553,15.4918200009,32.3607148998,2.74
5,1433753554,15.4918200009,32.3607148998,3.07
6,1433753554,15.4918200009,32.3607148998,4.35
7,1433753555,15.4918200009,32.3607148998,4.61
8,1433753555,15.4918200009,32.3607148998,2.76
9,1433753556,15.4918200009,32.3607148998,4.4
10,1433753556,15.4918200009,32.3607148998,2.7
11,1433753557,15.4918200009,32.3607148998,2.76
12,1433753557,15.4918200009,32.3607148998,2.96
13,1433753558,15.4918200009,32.3607148998,2.73
14,1433753558,15.4918200009,32.3607148998,2.63
15,1433753559,15.4918200009,32.3607148998,3.66
16,1433753559,15.4918200009,32.3607148998,2.7
17,1433753560,15.4918200009,32.3607148998,2.72
18,1433753560,15.4918200009,32.3607148998,2.74
19,1433753561,15.4586092566,32.3631739085,4.19
20,1433753561,15.4586092566,32.3631739085,2.73
21,1433753562,15.3040261852,32.5750298337,3.12
22,1433753562,15.1086171538,32.8334769418,2.73
23,1433753563,14.9420632391,33.0640698755,3.0
24,1433753563,14.7641352943,33.3094646005,2.73
25,1433753564,14.7641352943,33.3094646005,2.76
26,1433753564,14.5414235148,33.464046466,2.73
27,1433753565,14.5414235148,33.464046466,2.72
28,1433753565,14.5414235148,33.464046466,2.74
29,1433753566,14.5414235148,33.464046466,2.72
30,1433753566,14.5414235148,33.464046466,2.74
31,1433753567,14.5414235148,33.464046466,2.77
32,1433753567,14.5414235148,33.464046466,2.75
33,1433753568,14.5414235148,33.464046466,2.75
34,1433753568,14.3621029347,33.6607546385,2.71
35,1433753569,14.3766005163,33.656086676,2.7
36,1433753569,14.3642719278,33.6838737291,2.97
37,1433753570,14.3344129785,33.6707101827,3.73
38,1433753570,14.3344129785,33.6707101827,2.69
39,1433753571,14.5500550742,33.4559195191,2.74
40,1433753571,14.7480622394,33.2124239155,2.72
41,1433753572,14.7480622394,33.2124239155,2.72
42,1433753572,14.9454094898,32.9887523461,2.86
43,1433753573,15.1772188685,32.7698135939,3.72
44,1433753573,15.4163436613,32.5831357173,2.73
45,1433753574,15.6303444511,32.4357278227,2.73
46,1433753574,15.8012110716,32.2069048881,2.77
47,1433753575,15.8012110716,32.2069048881,2.78
48,1433753575,16.0697918974,31.9802915471,2.7
49,1433753576,16.2797820096,31.7493366953,2.72
50,1433753576,16.5116496228,31.5327325907,2.76
51,1433753577,16.6956324674,31.3016330869,2.7
52,1433753577,16.8732676969,31.0990011041,2.71
53,1433753578,16.8732676969,31.0990011041,2.74
54,1433753578,17.0621619482,30.9236978107,3.04
55,1433753579,17.202059647,30.7570686759,2.77
56,1433753579,17.202059647,30.7570686759,2.75
57,1433753580,17.202059647,30.7570686759,4.31
58,1433753580,17.202059647,30.7570686759,2.7
59,1433753581,17.2470587592,30.530394079,2.91
60,1433753581,17.2226447191,30.2572402411,2.7
61,1433753582,17.1925731631,30.0039174211,2.81
62,1433753582,17.1491146588,29.7528322185,2.95
63,1433753583,17.1028072546,29.5528472617,2.77
64,1433753583,17.0395124615,29.3129020488,3.07
65,1433753584,17.0930445631,28.8613344726,3.73
66,1433753584,17.0879713899,28.8591355993,2.77
67,1433753594,17.0527461241,28.1436913694,2.78
68,1433753595,17.0527461241,28.1436913694,2.74
69,1433753595,17.0527461241,28.1436913694,2.75
70,1433753596,17.0527461241,28.1436913694,2.76
71,1433753596,17.0527461241,28.1436913694,2.73
72,1433753597,17.0527461241,28.1436913694,2.72
73,1433753598,17.0527461241,28.1436913694,2.73
74,1433753598,17.0527461241,28.1436913694,2.75
75,1433753599,17.0527461241,28.1436913694,2.78
76,1433753599,17.0527461241,28.1436913694,2.96
77,1433753600,17.0527461241,28.1436913694,2.69
78,1433753600,17.0527461241,28.1436913694,2.74
79,1433753601,17.0527461241,28.1436913694,2.72
80,1433753601,17.0527461241,28.1436913694,2.73
81,1433753602,17.0527461241,28.1436913694,2.7
82,1433753602,17.0527461241,28.1436913694,2.71
83,1433753603,17.0527461241,28.1436913694,2.7
84,1433753603,17.0428911605,28.1403293578,4.11
