,secs,x,y,delay
0,1433753551,0.0,0.0,0.882
1,1433753552,15.4918200009,32.3607148998,0.904
2,1433753552,15.4918200009,32.3607148998,0.902
3,1433753553,15.4918200009,32.3607148998,0.923
4,1433753553,15.4918200009,32.3607148998,0.883
5,1433753554,15.4918200009,32.3607148998,0.846
6,1433753554,15.4918200009,32.3607148998,1.34
7,1433753555,15.4918200009,32.3607148998,0.874
8,1433753555,15.4918200009,32.3607148998,0.896
9,1433753556,15.4918200009,32.3607148998,0.908
10,1433753556,15.4918200009,32.3607148998,1.18
11,1433753557,15.4918200009,32.3607148998,11.6
12,1433753557,15.4918200009,32.3607148998,0.925
13,1433753558,15.4918200009,32.3607148998,0.922
14,1433753558,15.4918200009,32.3607148998,1.64
15,1433753559,15.4918200009,32.3607148998,1.28
16,1433753559,15.4918200009,32.3607148998,1.12
17,1433753560,15.4918200009,32.3607148998,0.9
18,1433753560,15.4918200009,32.3607148998,0.93
19,1433753561,15.4586092566,32.3631739085,0.873
20,1433753561,15.4586092566,32.3631739085,0.92
21,1433753562,15.3040261852,32.5750298337,1.12
22,1433753562,15.1086171538,32.8334769418,0.897
23,1433753563,14.9420632391,33.0640698755,0.877
24,1433753563,14.7641352943,33.3094646005,1.0
25,1433753564,14.7641352943,33.3094646005,0.886
26,1433753564,14.5414235148,33.464046466,0.925
27,1433753565,14.5414235148,33.464046466,0.919
28,1433753565,14.5414235148,33.464046466,0.896
29,1433753566,14.5414235148,33.464046466,0.891
30,1433753566,14.5414235148,33.464046466,0.902
31,1433753567,14.5414235148,33.464046466,0.828
32,1433753567,14.5414235148,33.464046466,0.867
33,1433753568,14.5414235148,33.464046466,1.21
34,1433753568,14.3621029347,33.6607546385,0.866
35,1433753569,14.3766005163,33.656086676,0.889
36,1433753569,14.3642719278,33.6838737291,0.88
37,1433753570,14.3344129785,33.6707101827,0.89
38,1433753570,14.3344129785,33.6707101827,0.882
39,1433753571,14.5500550742,33.4559195191,6.78
40,1433753571,14.7480622394,33.2124239155,0.848
41,1433753572,14.9454094898,32.9887523461,0.877
42,1433753572,14.9454094898,32.9887523461,0.917
43,1433753573,15.1772188685,32.7698135939,0.861
44,1433753573,15.4163436613,32.5831357173,0.881
45,1433753574,15.6303444511,32.4357278227,0.917
46,1433753574,15.8012110716,32.2069048881,0.84
47,1433753575,15.8012110716,32.2069048881,0.806
48,1433753575,16.0697918974,31.9802915471,0.878
49,1433753576,16.2797820096,31.7493366953,0.866
50,1433753576,16.5116496228,31.5327325907,0.85
51,1433753577,16.6956324674,31.3016330869,0.916
52,1433753577,16.8732676969,31.0990011041,0.866
53,1433753578,16.8732676969,31.0990011041,0.846
54,1433753578,17.0621619482,30.9236978107,0.908
55,1433753579,17.202059647,30.7570686759,0.846
56,1433753579,17.202059647,30.7570686759,0.846
57,1433753580,17.202059647,30.7570686759,0.914
58,1433753580,17.202059647,30.7570686759,0.908
59,1433753581,17.2470587592,30.530394079,1.24
60,1433753581,17.2226447191,30.2572402411,0.913
61,1433753582,17.1925731631,30.0039174211,0.927
62,1433753582,17.1491146588,29.7528322185,0.852
